image_id,labels_message
cknfw86ds000f3h6fbt1xeuhj,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 270, ""left"": 124, ""height"": 472, ""width"": 985}, ""subtitle"": {""top"": 823, ""left"": 124, ""height"": 179, ""width"": 985}, ""chart-title"": {""top"": 1040, ""left"": 124, ""height"": 103, ""width"": 985}, ""chart-number"": {""top"": 1191, ""left"": 118, ""height"": 228, ""width"": 997}, ""text"": {""top"": 1576, ""left"": 124, ""height"": 341, ""width"": 336}}"
cknfwa4oe000v3h6ftl518c9p,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 309, ""left"": 665, ""height"": 488, ""width"": 1181}, ""subtitle"": {""top"": 840, ""left"": 465, ""height"": 168, ""width"": 1381}, ""chart-title"": {""top"": 1067, ""left"": 465, ""height"": 141, ""width"": 1381}, ""chart-number"": {""top"": 1289, ""left"": 470, ""height"": 422, ""width"": 1381}, ""text"": {""top"": 2458, ""left"": 48, ""height"": 320, ""width"": 368}}"
cknfwbh1a001b3h6f17t1964q,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 222, ""left"": 389, ""height"": 514, ""width"": 1316}, ""subtitle"": {""top"": 769, ""left"": 541, ""height"": 162, ""width"": 1029}, ""chart-title"": {""top"": 975, ""left"": 384, ""height"": 103, ""width"": 1321}, ""chart-number"": {""top"": 1229, ""left"": 373, ""height"": 471, ""width"": 1338}, ""text"": {""top"": 1744, ""left"": 541, ""height"": 319, ""width"": 1029}}"
cknfwd4ln001r3h6fabe7hps2,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 287, ""left"": 91, ""height"": 1527, ""width"": 602}, ""subtitle"": {""top"": 1863, ""left"": 91, ""height"": 151, ""width"": 596}, ""chart-title"": {""top"": 287, ""left"": 757, ""height"": 125, ""width"": 986}, ""chart-number"": {""top"": 487, ""left"": 757, ""height"": 390, ""width"": 991}, ""text"": {""top"": 2058, ""left"": 97, ""height"": 308, ""width"": 590}}"
cknfwf5z700273h6feew5vxi8,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 1901, ""left"": 887, ""height"": 579, ""width"": 1089}, ""subtitle"": {""top"": 1727, ""left"": 909, ""height"": 114, ""width"": 1083}, ""chart-title"": {""top"": 179, ""left"": 97, ""height"": 119, ""width"": 1164}, ""chart-number"": {""top"": 352, ""left"": 97, ""height"": 449, ""width"": 1153}, ""text"": {""top"": 866, ""left"": 91, ""height"": 407, ""width"": 472}}"
cknfwjyph002n3h6f0c6gicyh,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 227, ""left"": 96, ""height"": 1288, ""width"": 677}, ""subtitle"": {""top"": 222, ""left"": 843, ""height"": 173, ""width"": 1035}, ""chart-title"": {""top"": 1652, ""left"": 297, ""height"": 113, ""width"": 1327}, ""chart-number"": {""top"": 1798, ""left"": 303, ""height"": 476, ""width"": 1554}, ""text"": {""top"": 444, ""left"": 839, ""height"": 423, ""width"": 547}}"
cknfwm7uw00333h6fbigye6cb,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 282, ""left"": 97, ""height"": 179, ""width"": 579}, ""subtitle"": {""top"": 542, ""left"": 92, ""height"": 129, ""width"": 1012}, ""chart-title"": {""top"": 731, ""left"": 86, ""height"": 108, ""width"": 1029}, ""chart-number"": {""top"": 904, ""left"": 86, ""height"": 520, ""width"": 1673}, ""text"": {""top"": 1484, ""left"": 81, ""height"": 135, ""width"": 1023}}"
cknfwp3ko003l3h6fptox1cbq,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""chart-number"": {""top"": 2193, ""left"": 75, ""height"": 303, ""width"": 1013}, ""chart-title"": {""top"": 2020, ""left"": 75, ""height"": 141, ""width"": 1013}, ""headline"": {""top"": 320, ""left"": 124, ""height"": 389, ""width"": 964}, ""subtitle"": {""top"": 779, ""left"": 125, ""height"": 504, ""width"": 503}, ""text"": {""top"": 108, ""left"": 118, ""height"": 125, ""width"": 1327}}"
cknfws25t00413h6fc5bsqbd0,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""chart-number"": {""top"": 980, ""left"": 108, ""height"": 580, ""width"": 1733}, ""headline"": {""top"": 498, ""left"": 1109, ""height"": 320, ""width"": 726}, ""subtitle"": {""top"": 244, ""left"": 113, ""height"": 113, ""width"": 628}, ""chart-title"": {""top"": 856, ""left"": 113, ""height"": 97, ""width"": 1728}, ""text"": {""top"": 2014, ""left"": 108, ""height"": 558, ""width"": 514}}"
cknfwxlte004h3h6fk8jpdx1d,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 1316, ""left"": 238, ""height"": 433, ""width"": 785}, ""subtitle"": {""top"": 1171, ""left"": 227, ""height"": 102, ""width"": 801}, ""text"": {""top"": 190, ""left"": 243, ""height"": 368, ""width"": 774}, ""chart-title"": {""top"": 1841, ""left"": 248, ""height"": 125, ""width"": 791}, ""chart-number"": {""top"": 2042, ""left"": 243, ""height"": 411, ""width"": 780}}"
cknfwz44w004x3h6fs416vf87,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 2274, ""left"": 974, ""height"": 401, ""width"": 991}, ""subtitle"": {""top"": 1998, ""left"": 368, ""height"": 168, ""width"": 991}, ""chart-title"": {""top"": 1717, ""left"": 102, ""height"": 157, ""width"": 639}, ""chart-number"": {""top"": 579, ""left"": 102, ""height"": 488, ""width"": 1701}, ""text"": {""top"": 368, ""left"": 97, ""height"": 168, ""width"": 1706}}"
cknfx0sow005d3h6fl0nww1b3,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""chart-number"": {""top"": 287, ""left"": 64, ""height"": 2420, ""width"": 921}, ""headline"": {""top"": 287, ""left"": 1104, ""height"": 330, ""width"": 704}, ""subtitle"": {""top"": 688, ""left"": 1099, ""height"": 151, ""width"": 704}, ""chart-title"": {""top"": 888, ""left"": 1104, ""height"": 206, ""width"": 699}, ""text"": {""top"": 2187, ""left"": 1093, ""height"": 482, ""width"": 693}}"
cknfx2sdy005v3h6fchcaa74c,"{""background"": {""top"": 0, ""left"": 0, ""height"": 3000, ""width"": 2024}, ""headline"": {""top"": 1132, ""left"": 97, ""height"": 655, ""width"": 1846}, ""subtitle"": {""top"": 141, ""left"": 108, ""height"": 206, ""width"": 752}, ""chart-title"": {""top"": 439, ""left"": 108, ""height"": 146, ""width"": 1218}, ""chart-number"": {""top"": 639, ""left"": 113, ""height"": 287, ""width"": 747}, ""text"": {""top"": 1852, ""left"": 97, ""height"": 536, ""width"": 769}}"
